,Stock1,Stock2
1295,AVB,MTB
1296,AVB,MRO
1297,AVB,TAP
1298,AVB,NOV
1299,AVB,OXY
1300,AVB,OKE
1301,AVB,RTX
1302,AVB,REG
1303,AVB,SLB
1304,AVB,SPG
1305,AVB,TSN
1306,AVB,VNO
1307,AVB,WBA
1308,AVB,WFC
1309,AVB,WELL
1310,AVY,CAT
1311,AVY,J
1312,AVY,ORCL
1313,AVY,PM
1314,AVY,RHI
1315,AVY,STX
1316,BKR,DVN
1317,BKR,EXC
1318,BKR,HAL
1319,BKR,HST
1320,BKR,LNC
1321,BKR,MAR
1322,BKR,UAA
1323,BKR,UA
1324,BKR,UNM
1325,BKR,WYNN
1326,BLL,QCOM
1327,BLL,UPS
1328,BAC,CBRE
1329,BAC,HLT
1330,BAC,IRM
1331,BAC,LUMN
1332,BAC,MAA
1333,BAC,NTRS
1334,BAC,PM
1335,BAC,PNC
1336,BAC,ROST
1337,BK,CB
1338,BK,C
1339,BK,CMA
